"name";"id";"systemid";"executiontime";"executioninmiliseconds"
"bicing";"103";"7";"2020-08-27T22:00:01.872111Z";"1835"
"bicing";"494";"7";"2020-08-28T03:00:04.652379Z";"4633"
"bicing";"246";"7";"2020-08-27T23:50:01.70771Z";"1689"
"bicing";"856";"7";"2020-08-28T07:45:01.889809Z";"1871"
"bicing";"466";"7";"2020-08-28T02:40:04.736397Z";"4711"
"bicing";"1481";"7";"2020-08-28T15:50:02.496925Z";"2468"
"bicing";"519";"7";"2020-08-28T03:25:01.711251Z";"1695"
"bicing";"659";"7";"2020-08-28T05:10:03.130158Z";"3110"
"bicing";"83";"7";"2020-08-27T21:40:05.42179Z";"5403"
"bicing";"391";"7";"2020-08-28T01:40:03.826234Z";"3801"
"bicing";"863";"7";"2020-08-28T07:50:07.018205Z";"7011"
"bicing";"1137";"7";"2020-08-28T11:25:01.67194Z";"1659"
"bicing";"239";"7";"2020-08-27T23:45:01.791185Z";"1786"
"bicing";"1030";"7";"2020-08-28T10:00:04.160637Z";"4135"
"bicing";"663";"7";"2020-08-28T05:15:01.706637Z";"1680"
"bicing";"1241";"7";"2020-08-28T12:50:01.935617Z";"1930"
"bicing";"869";"7";"2020-08-28T07:55:06.553821Z";"6537"
"bicing";"556";"7";"2020-08-28T03:50:02.957439Z";"2927"
"bicing";"697";"7";"2020-08-28T05:40:03.912712Z";"3901"
"bicing";"7";"7";"2020-08-27T20:50:02.518498Z";"2493"
"bicing";"234";"7";"2020-08-27T23:40:01.680441Z";"1660"
"bicing";"230";"7";"2020-08-27T23:35:05.629891Z";"5621"
"bicing";"875";"7";"2020-08-28T08:00:01.725916Z";"1716"
"bicing";"112";"7";"2020-08-27T22:05:03.683482Z";"3661"
"bicing";"1035";"7";"2020-08-28T10:05:01.699928Z";"1663"
"bicing";"74";"7";"2020-08-27T21:35:04.022052Z";"4003"
"bicing";"135";"7";"2020-08-27T22:25:01.791673Z";"1769"
"bicing";"880";"7";"2020-08-28T08:05:01.708672Z";"1679"
"bicing";"1296";"7";"2020-08-28T13:30:03.711098Z";"3686"
